question,answer
Do I have to create an account before I buy online?,"By creating an account with us your checkout process is faster. You can view your order status, check your purchase history and claim bonus offers. If you'd prefer not to create an account you can make your online purchase as a 'guest'."
What happens if I have forgotten my password?,You can request your password to be reset by entering your email address on the “Forgot your Password’ page and you will receive your reset password link by email. If you still haven’t received your password:Confirm that you provided your correct email address; Check your Spam/Junk folders;
Can I cancel my online order?,"Yes, if your item has not yet been dispatched, we will be able to cancel your order. Simply send us a message here and our team will cancel your order and issue a refund in the same tender used to place the order."
Where is my online order?,"You should receive an Online Order Confirmation email within 24hrs of placing your order.
If you did not receive your Online Order Confirmation email, please:Confirm that you have placed your order with your correct email address;
Check your Spam/Junk folders;"
How do I track my online order?,"For smaller products, an email with a tracking link and instructions will be emailed to you when your order has been despatched. For larger items, the store fulfilling your order will contact you to arrange a suitable delivery date and time."
How will I be notified of my delivery?,"For large products such as air conditioners, cooker, chest & upright freezers, washers, dryers and TVs delivered by The Good Guys if you have selected a delivery date, your order will be delivered on the selected date. We'll contact you on the morning of the delivery with an estimated delivery time.

For Uber Deliveries, you will get SMS updates from Uber once your order is on the way.

The Uber driver will ask for the 4 digits pin to accept your delivery. Any missed deliveries will be returned to the store.

If you have not selected a delivery date, you may receive a call from us to confirm details or make delivery arrangements. Otherwise we'll send you an email when your order has been shipped.

If you need to reschedule, please contact the store dispatching your order on your confirmation email, the stores name and phone number is listed to avoid any redelivery charges."
How much does delivery cost?,"Delivery costs for your purchase are calculated and displayed in the shopping cart. Standard delivery is calculated by the size and weight of the items, plus the delivery location. Next Day delivery is available at no additional cost."
What do I do if my item has arrived damaged?,"We recommend contacting the dispatching store directly as they will be able to identify the next steps involved, just make sure you have a copy of your tax invoice handy.

You can find the contact details of the dispatching store on your confirmation email."
What is Click & Collect?,"Click & Collect is a convenient, cost-effective option for customers who live or work near one of The Good Guys stores and may not want an item to be delivered, or who would prefer not to pay for delivery. Customers can simply pick up in store at a convenient time that suits them after the order has been accepted and a ‘Ready for Pick Up’ notification received."
What do I need to bring to collect my order?,"You will need to present a copy of your Click & Collect confirmation email printed or on your mobile, along with ID (i.e. drivers Licence, passport or photo identification) matching the authorised person's details as listed on the confirmation email. Photo ID will be required in order to receive your click and collect purchase."
Where do I go to collect my purchase?,Simply head to the nominated store and look for the Click and Collect signage and one of our team members will be able to help you with your order.
